year,suburb,median_price,rent_house,rent_all,rent_used,gross_yield,net_yield_25,net_yield_30
2013,ALTONA,572500.0,320.875,340.0,320.875,2.9144978165938866,2.185873362445415,2.0401484716157205
2013,ARMADALE,1675000.0,657.25,395.0,657.25,2.0404179104477613,1.5303134328358208,1.4282925373134328
2013,BAIRNSDALE,235000.0,250.0,260.0,250.0,5.531914893617021,4.148936170212766,3.872340425531915
2013,BALWYN,1530000.0,450.625,460.0,450.625,1.5315359477124182,1.1486519607843138,1.0720751633986927
2013,BAYSWATER,458500.0,325.375,325.0,325.375,3.6901853871319523,2.767639040348964,2.5831297709923664
2013,BENALLA,228000.0,213.125,212.5,213.125,4.860745614035087,3.645559210526316,3.402521929824561
2013,BENDIGO,340000.0,281.375,274.0,281.375,4.303382352941176,3.2275367647058824,3.012367647058823
2013,BENTLEIGH,900000.0,434.75,405.0,434.75,2.511888888888889,1.8839166666666667,1.7583222222222221
2013,BERWICK,453000.0,327.5,350.0,327.5,3.759381898454746,2.81953642384106,2.6315673289183223
2013,BLACKBURN,860500.0,372.5,380.0,372.5,2.251016850668216,1.688262638001162,1.575711795467751
2013,BORONIA,459500.0,325.625,330.0,325.625,3.6849836779107727,2.7637377584330793,2.5794885745375407
2013,BOX HILL,855000.0,376.875,365.0,376.875,2.2921052631578944,1.7190789473684212,1.6044736842105265
2013,BRIGHTON,1802500.0,666.875,627.5,666.875,1.9238557558945906,1.4428918169209433,1.3466990291262135
2013,BRIGHTON EAST,1230000.0,530.75,582.5,530.75,2.2438211382113824,1.6828658536585366,1.5706747967479673
2013,BRUNSWICK,750000.0,500.0,400.0,500.0,3.4666666666666663,2.6,2.4266666666666667
2013,CARLTON NORTH,890500.0,569.75,495.0,569.75,3.327007299270073,2.495255474452555,2.328905109489051
2013,CARNEGIE,865000.0,472.125,350.0,472.125,2.8382080924855493,2.128656069364162,1.9867456647398842
2013,CASTLEMAINE,372500.0,293.125,300.0,293.125,4.0919463087248324,3.0689597315436243,2.864362416107382
2013,CAULFIELD,1172500.0,507.25,392.5,507.25,2.249637526652452,1.687228144989339,1.5747462686567162
2013,CHELTENHAM,690000.0,421.0,380.0,421.0,3.172753623188406,2.3795652173913044,2.220927536231884
2013,CLAYTON,645000.0,348.125,350.0,348.125,2.8065891472868216,2.104941860465116,1.9646124031007752
2013,CORIO,230000.0,237.25,250.0,237.25,5.36391304347826,4.022934782608695,3.7547391304347824
2013,CRAIGIEBURN,360000.0,310.0,320.0,310.0,4.477777777777778,3.3583333333333334,3.1344444444444446
2013,CRANBOURNE,315000.0,305.625,332.5,305.625,5.045238095238095,3.7839285714285715,3.531666666666667
2013,DANDENONG,405000.0,313.75,292.5,313.75,4.0283950617283955,3.0212962962962964,2.819876543209877
2013,EAST MELBOURNE,1790000.0,842.0,460.0,842.0,2.4460335195530725,1.8345251396648043,1.7122234636871507
2013,ECHUCA,285000.0,255.0,252.5,255.0,4.652631578947369,3.4894736842105263,3.256842105263158
2013,ELSTERNWICK,1365000.0,538.125,390.0,538.125,2.0500000000000003,1.5375,1.435
2013,ELWOOD,1350000.0,672.375,390.0,672.375,2.589888888888889,1.9424166666666667,1.812922222222222
2013,ESSENDON,870000.0,380.25,350.0,380.25,2.2727586206896553,1.7045689655172411,1.5909310344827585
2013,FERNTREE GULLY,451000.0,325.0,337.5,325.0,3.747228381374723,2.810421286031042,2.623059866962306
2013,FITZROY,945000.0,633.125,492.5,633.125,3.4838624338624333,2.6128968253968257,2.4387037037037036
2013,FOOTSCRAY,600000.0,365.625,330.0,365.625,3.16875,2.3765625,2.218125
2013,FRANKSTON,350000.0,300.0,300.0,300.0,4.457142857142857,3.3428571428571425,3.1199999999999997
2013,HAMILTON,192500.0,224.125,230.0,224.125,6.054285714285714,4.5407142857142855,4.238
2013,HAWTHORN,1575000.0,589.75,372.5,589.75,1.9471111111111112,1.4603333333333333,1.3629777777777776
2013,HORSHAM,215000.0,224.125,232.5,224.125,5.420697674418604,4.065523255813954,3.794488372093023
2013,KEILOR,572500.0,353.75,369.0,353.75,3.2131004366812226,2.409825327510917,2.249170305676856
2013,KEW,1751000.0,532.25,450.0,532.25,1.5806396344945746,1.1854797258709309,1.1064477441462022
2013,LARA,350000.0,311.75,325.0,311.75,4.631714285714286,3.473785714285714,3.2422
2013,MALVERN,1508500.0,599.25,407.5,599.25,2.0656943984090157,1.5492707988067618,1.4459860788863106
2013,MALVERN EAST,1200000.0,488.75,395.0,488.75,2.1179166666666664,1.5884375,1.4825416666666666
2013,MELTON,245000.0,250.0,270.0,250.0,5.3061224489795915,3.9795918367346936,3.7142857142857144
2013,MILDURA,225500.0,236.25,240.0,236.25,5.44789356984479,4.085920177383592,3.813525498891353
2013,MORWELL,160000.0,186.625,185.0,186.625,6.0653125,4.548984375,4.24571875
2013,MOUNT WAVERLEY,820000.0,385.625,412.5,385.625,2.4454268292682926,1.8340701219512194,1.7117987804878048
2013,NOBLE PARK,400000.0,309.125,300.0,309.125,4.018625,3.01396875,2.8130375
2013,NORTH BENDIGO,271000.0,265.0,280.0,265.0,5.084870848708487,3.8136531365313657,3.5594095940959405
2013,NORTH GEELONG,272500.0,288.25,295.0,288.25,5.500550458715597,4.125412844036697,3.850385321100917
2013,NORTHCOTE,820000.0,532.25,440.0,532.25,3.375243902439024,2.531432926829268,2.3626707317073166
2013,PAKENHAM,335000.0,293.125,302.5,293.125,4.55,3.4125,3.1850000000000005
2013,PORT MELBOURNE,995000.0,652.625,525.0,652.625,3.4107035175879394,2.558027638190955,2.387492462311558
2013,PORTLAND,235000.0,223.75,230.0,223.75,4.951063829787234,3.7132978723404255,3.4657446808510635
2013,PRESTON,632500.0,379.875,355.0,379.875,3.123083003952569,2.342312252964427,2.1861581027667985
2013,RESERVOIR,510000.0,316.875,320.0,316.875,3.2308823529411765,2.4231617647058825,2.2616176470588236
2013,RINGWOOD,552000.0,341.25,332.5,341.25,3.214673913043478,2.4110054347826084,2.2502717391304348
2013,ROWVILLE,570000.0,376.25,400.0,376.25,3.4324561403508773,2.574342105263158,2.402719298245614
2013,SEYMOUR,220000.0,226.25,215.5,226.25,5.347727272727273,4.0107954545454545,3.743409090909091
2013,SHEPPARTON,247000.0,240.0,250.0,240.0,5.052631578947368,3.7894736842105265,3.536842105263158
2013,SOUTH MELBOURNE,1030000.0,624.75,497.5,624.75,3.1540776699029127,2.3655582524271845,2.2078543689320385
2013,SOUTH YARRA,1352500.0,642.625,412.5,642.625,2.470720887245841,1.8530406654343807,1.7295046210720886
2013,SPRINGVALE,451500.0,308.25,320.0,308.25,3.5501661129568105,2.6626245847176078,2.4851162790697674
2013,ST KILDA,892000.0,591.875,380.0,591.875,3.4503923766816142,2.587794282511211,2.4152746636771303
2013,SUNBURY,355000.0,289.375,315.0,289.375,4.238732394366197,3.1790492957746475,2.9671126760563378
2013,SUNSHINE,435000.0,289.375,290.0,289.375,3.459195402298851,2.5943965517241376,2.4214367816091955
2013,SWAN HILL,225000.0,226.25,220.0,226.25,5.228888888888889,3.9216666666666664,3.6602222222222225
2013,SYDENHAM,425000.0,323.75,340.0,323.75,3.9611764705882355,2.9708823529411763,2.772823529411765
2013,THORNBURY,729000.0,468.125,330.0,468.125,3.3391632373113858,2.504372427983539,2.3374142661179698
2013,TOORAK,2875000.0,712.875,442.5,712.875,1.2893739130434783,0.9670304347826086,0.9025617391304346
2013,TORQUAY,580000.0,361.75,395.0,361.75,3.2432758620689657,2.432456896551724,2.2702931034482754
2013,TRARALGON,269000.0,248.125,257.5,248.125,4.796468401486989,3.597351301115242,3.357527881040892
2013,WARRAGUL,315000.0,253.75,270.0,253.75,4.188888888888889,3.141666666666667,2.9322222222222223
2013,WARRNAMBOOL,325000.0,281.25,280.0,281.25,4.5,3.375,3.15
2013,WEST FOOTSCRAY,553000.0,322.125,320.0,322.125,3.029023508137432,2.2717676311030743,2.120316455696202
2013,WHITTLESEA,375000.0,316.25,330.0,316.25,4.3853333333333335,3.289,3.069733333333333
2013,WILLIAMSTOWN,920000.0,488.125,450.0,488.125,2.7589673913043478,2.069225543478261,1.9312771739130434
2013,WODONGA,282500.0,258.5,270.0,258.5,4.7582300884955755,3.5686725663716814,3.3307610619469026
2014,ALTONA,646500.0,335.0,350.0,335.0,2.6945088940448567,2.0208816705336425,1.8861562258313997
2014,ARMADALE,1750000.0,695.0,392.5,695.0,2.065142857142857,1.5488571428571427,1.4456
2014,BAIRNSDALE,244000.0,258.5,262.5,258.5,5.509016393442623,4.131762295081967,3.8563114754098358
2014,BALWYN,1780000.0,454.375,462.5,454.375,1.3273876404494382,0.9955407303370787,0.9291713483146067
2014,BAYSWATER,525000.0,325.375,337.5,325.375,3.2227619047619047,2.4170714285714285,2.2559333333333336
2014,BENALLA,235500.0,221.25,227.5,221.25,4.885350318471337,3.6640127388535033,3.419745222929936
2014,BENDIGO,376500.0,274.125,272.5,274.125,3.78605577689243,2.8395418326693225,2.650239043824701
2014,BENTLEIGH,1050000.0,445.625,422.5,445.625,2.206904761904762,1.6551785714285714,1.544833333333333
2014,BERWICK,487500.0,334.375,360.0,334.375,3.5666666666666664,2.675,2.496666666666667
2014,BLACKBURN,936000.0,383.5,387.5,383.5,2.1305555555555555,1.5979166666666667,1.4913888888888889
2014,BORONIA,500500.0,331.625,340.0,331.625,3.4454545454545453,2.584090909090909,2.4118181818181816
2014,BOX HILL,1067000.0,390.75,378.5,390.75,1.9043111527647612,1.4282333645735708,1.3330178069353327
2014,BRIGHTON,1940000.0,656.625,600.0,656.625,1.7600257731958762,1.3200193298969072,1.2320180412371131
2014,BRIGHTON EAST,1300500.0,538.125,577.5,538.125,2.1516724336793542,1.6137543252595157,1.5061707035755478
2014,BRUNSWICK,812500.0,515.0,400.0,515.0,3.2960000000000003,2.472,2.3072
2014,CARLTON NORTH,1095000.0,592.5,515.0,592.5,2.813698630136986,2.1102739726027395,1.9695890410958903
2014,CARNEGIE,1007500.0,481.0,350.5,481.0,2.48258064516129,1.8619354838709676,1.737806451612903
2014,CASTLEMAINE,369500.0,301.25,300.0,301.25,4.2395128552097425,3.179634641407307,2.96765899864682
2014,CAULFIELD,1322000.0,518.125,397.5,518.125,2.0380105900151286,1.5285079425113466,1.42660741301059
2014,CHELTENHAM,774000.0,427.25,397.0,427.25,2.8704134366925067,2.15281007751938,2.0092894056847546
2014,CLAYTON,750000.0,363.25,360.0,363.25,2.5185333333333335,1.8889,1.762973333333333
2014,CORIO,242000.0,238.75,250.0,238.75,5.130165289256198,3.8476239669421486,3.591115702479339
2014,CRAIGIEBURN,362000.0,315.0,330.0,315.0,4.524861878453039,3.393646408839779,3.167403314917127
2014,CRANBOURNE,331500.0,312.25,345.0,312.25,4.898039215686274,3.673529411764706,3.428627450980392
2014,DANDENONG,439000.0,330.5,300.0,330.5,3.9148063781321185,2.936104783599089,2.7403644646924827
2014,EAST MELBOURNE,1850000.0,865.25,466.5,865.25,2.432054054054054,1.8240405405405404,1.7024378378378378
2014,ECHUCA,285000.0,270.75,269.0,270.75,4.9399999999999995,3.705,3.458
2014,ELSTERNWICK,1315000.0,553.25,397.5,553.25,2.1877566539923956,1.6408174904942965,1.5314296577946767
2014,ELWOOD,1412500.0,688.625,392.5,688.625,2.535115044247788,1.9013362831858407,1.7745805309734513
2014,ESSENDON,942000.0,389.375,350.0,389.375,2.149416135881104,1.6120621019108279,1.5045912951167728
2014,FERNTREE GULLY,505000.0,333.75,342.5,333.75,3.436633663366337,2.5774752475247524,2.405643564356436
2014,FITZROY,1130000.0,640.625,504.0,640.625,2.9480088495575223,2.2110066371681416,2.0636061946902653
2014,FOOTSCRAY,645000.0,383.125,330.0,383.125,3.0887596899224805,2.31656976744186,2.1621317829457363
2014,FRANKSTON,372000.0,306.625,302.5,306.625,4.286155913978495,3.2146169354838707,3.000309139784946
2014,HAMILTON,200000.0,230.625,231.0,230.625,5.99625,4.4971875,4.197375
2014,HAWTHORN,1606500.0,593.25,375.0,593.25,1.9202614379084968,1.4401960784313725,1.3441830065359477
2014,HORSHAM,215000.0,237.125,245.0,237.125,5.735116279069767,4.301337209302326,4.014581395348837
2014,KEILOR,633000.0,367.0,370.0,367.0,3.0148499210110584,2.261137440758294,2.110394944707741
2014,KEW,1950000.0,539.125,450.0,539.125,1.4376666666666666,1.0782500000000002,1.0063666666666666
2014,LARA,340000.0,304.75,321.5,304.75,4.660882352941177,3.4956617647058827,3.2626176470588235
2014,MALVERN,1946000.0,634.125,431.5,634.125,1.6944758478931141,1.2708568859198355,1.1861330935251797
2014,MALVERN EAST,1380000.0,488.75,400.0,488.75,1.8416666666666668,1.38125,1.2891666666666666
2014,MELTON,240000.0,258.75,277.5,258.75,5.60625,4.2046874999999995,3.924375
2014,MILDURA,245000.0,244.375,250.0,244.375,5.186734693877551,3.8900510204081633,3.630714285714286
2014,MORWELL,150000.0,188.25,187.5,188.25,6.526,4.8945,4.568199999999999
2014,MOUNT WAVERLEY,950000.0,395.0,420.0,395.0,2.1621052631578945,1.621578947368421,1.513473684210526
2014,NOBLE PARK,440000.0,311.375,305.0,311.375,3.6798863636363635,2.7599147727272726,2.575920454545454
2014,NORTH BENDIGO,280000.0,264.375,280.0,264.375,4.909821428571429,3.6823660714285715,3.4368750000000006
2014,NORTH GEELONG,301000.0,293.0,300.0,293.0,5.061794019933555,3.796345514950166,3.543255813953488
2014,NORTHCOTE,931500.0,536.0,450.0,536.0,2.992163177670424,2.2441223832528183,2.0945142243692967
2014,PAKENHAM,350000.0,296.25,312.5,296.25,4.401428571428571,3.301071428571429,3.081
2014,PORT MELBOURNE,917500.0,652.25,530.0,652.25,3.6966757493188016,2.7725068119891008,2.5876730245231605
2014,PORTLAND,210000.0,220.0,230.0,220.0,5.447619047619048,4.085714285714285,3.813333333333333
2014,PRESTON,690000.0,393.5,364.0,393.5,2.9655072463768115,2.2241304347826087,2.075855072463768
2014,RESERVOIR,541000.0,329.5,320.0,329.5,3.1670979667282806,2.3753234750462107,2.216968576709797
2014,RINGWOOD,660000.0,352.875,347.5,352.875,2.7802272727272728,2.0851704545454544,1.9461590909090907
2014,ROWVILLE,617500.0,378.75,400.0,378.75,3.189473684210526,2.3921052631578945,2.2326315789473683
2014,SEYMOUR,213000.0,232.5,220.0,232.5,5.676056338028169,4.257042253521127,3.973239436619718
2014,SHEPPARTON,243000.0,250.0,255.0,250.0,5.349794238683128,4.012345679012346,3.7448559670781894
2014,SOUTH MELBOURNE,1200000.0,655.0,500.0,655.0,2.8383333333333334,2.12875,1.9868333333333335
2014,SOUTH YARRA,1450000.0,691.875,407.5,691.875,2.481206896551724,1.8609051724137933,1.7368448275862067
2014,SPRINGVALE,530000.0,324.0,330.0,324.0,3.178867924528302,2.3841509433962265,2.225207547169811
2014,ST KILDA,1225000.0,596.25,380.0,596.25,2.5310204081632652,1.898265306122449,1.7717142857142858
2014,SUNBURY,360000.0,304.75,320.0,304.75,4.401944444444444,3.301458333333333,3.081361111111111
2014,SUNSHINE,483500.0,293.75,300.0,293.75,3.159255429162358,2.3694415718717683,2.2114788004136505
2014,SWAN HILL,230000.0,233.0,222.5,233.0,5.267826086956521,3.9508695652173915,3.6874782608695647
2014,SYDENHAM,415000.0,334.75,350.0,334.75,4.194457831325301,3.1458433734939755,2.9361204819277105
2014,THORNBURY,841000.0,474.375,340.0,474.375,2.933115338882283,2.1998365041617123,2.053180737217598
2014,TOORAK,3391000.0,745.375,450.0,745.375,1.1430109112356237,0.8572581834267177,0.8001076378649364
2014,TORQUAY,580000.0,374.75,400.0,374.75,3.359827586206897,2.519870689655172,2.3518793103448274
2014,TRARALGON,275000.0,263.75,262.5,263.75,4.987272727272727,3.7404545454545453,3.491090909090909
2014,WARRAGUL,320000.0,256.875,270.5,256.875,4.17421875,3.1306640625,2.921953125
2014,WARRNAMBOOL,323000.0,282.5,280.0,282.5,4.547987616099071,3.4109907120743035,3.1835913312693496
2014,WEST FOOTSCRAY,637500.0,340.875,330.0,340.875,2.780470588235294,2.0853529411764704,1.9463294117647059
2014,WHITTLESEA,375000.0,312.25,330.0,312.25,4.329866666666667,3.2474000000000003,3.0309066666666666
2014,WILLIAMSTOWN,970000.0,497.75,450.0,497.75,2.6683505154639175,2.0012628865979383,1.8678453608247423
2014,WODONGA,295000.0,275.375,280.0,275.375,4.8540677966101695,3.640550847457627,3.3978474576271185
2015,ALTONA,718000.0,340.625,357.5,340.625,2.4669220055710306,1.850191504178273,1.7268454038997214
2015,ARMADALE,2172500.0,720.375,400.0,720.375,1.724257767548907,1.29319332566168,1.2069804372842348
2015,BAIRNSDALE,246500.0,268.125,272.5,268.125,5.6561866125760645,4.242139959432048,3.9593306288032455
2015,BALWYN,2210000.0,458.0,495.0,458.0,1.0776470588235294,0.8082352941176472,0.7543529411764706
2015,BAYSWATER,632500.0,340.0,347.5,340.0,2.7952569169960473,2.0964426877470355,1.9566798418972333
2015,BENALLA,222500.0,231.0,230.0,231.0,5.398651685393259,4.048988764044944,3.7790561797752806
2015,BENDIGO,372000.0,280.0,280.0,280.0,3.913978494623656,2.935483870967742,2.739784946236559
2015,BENTLEIGH,1245000.0,448.75,430.0,448.75,1.8742971887550202,1.4057228915662652,1.312008032128514
2015,BERWICK,535000.0,338.5,367.5,338.5,3.290093457943925,2.467570093457944,2.3030654205607477
2015,BLACKBURN,1200500.0,379.75,390.0,379.75,1.6448979591836734,1.2336734693877551,1.1514285714285715
2015,BORONIA,592500.0,338.75,350.0,338.75,2.972995780590717,2.229746835443038,2.081097046413502
2015,BOX HILL,1350000.0,400.75,390.0,400.75,1.5436296296296297,1.157722222222222,1.0805407407407408
2015,BRIGHTON,2307500.0,666.25,635.0,666.25,1.5014084507042254,1.126056338028169,1.0509859154929577
2015,BRIGHTON EAST,1600000.0,563.5,600.0,563.5,1.831375,1.3735312499999999,1.2819625
2015,BRUNSWICK,861000.0,534.75,405.0,534.75,3.229616724738676,2.422212543554007,2.2607317073170727
2015,CARLTON NORTH,1177500.0,600.625,530.0,600.625,2.65244161358811,1.9893312101910827,1.8567091295116773
2015,CARNEGIE,1300000.0,474.0,362.5,474.0,1.8960000000000001,1.422,1.3272
2015,CASTLEMAINE,380000.0,305.5,300.0,305.5,4.180526315789473,3.135394736842105,2.9263684210526315
2015,CAULFIELD,1650000.0,533.875,400.0,533.875,1.6825151515151515,1.2618863636363638,1.177760606060606
2015,CHELTENHAM,867000.0,436.125,400.0,436.125,2.6157439446366784,1.9618079584775086,1.8310207612456746
2015,CLAYTON,976000.0,383.125,370.0,383.125,2.0412397540983607,1.5309298155737705,1.4288678278688525
2015,CORIO,240000.0,237.5,250.0,237.5,5.145833333333334,3.8593750000000004,3.6020833333333337
2015,CRAIGIEBURN,390000.0,316.25,330.0,316.25,4.216666666666667,3.1625,2.9516666666666667
2015,CRANBOURNE,360000.0,322.875,350.0,322.875,4.66375,3.4978124999999998,3.264625
2015,DANDENONG,485000.0,333.125,310.0,333.125,3.571649484536082,2.678737113402062,2.500154639175258
2015,EAST MELBOURNE,2750000.0,876.8333333333334,470.0,876.8333333333334,1.6580121212121213,1.243509090909091,1.160608484848485
2015,ECHUCA,300000.0,289.75,280.0,289.75,5.022333333333333,3.76675,3.515633333333333
2015,ELSTERNWICK,1621000.0,577.5,400.0,577.5,1.852560148056755,1.3894201110425664,1.2967921036397285
2015,ELWOOD,1631000.0,696.0,400.0,696.0,2.2190067443286328,1.6642550582464746,1.5533047210300428
2015,ESSENDON,1228000.0,402.0,357.5,402.0,1.7022801302931596,1.2767100977198698,1.1915960912052115
2015,FERNTREE GULLY,599000.0,348.75,350.0,348.75,3.0275459098497497,2.2706594323873124,2.119282136894825
2015,FITZROY,1297500.0,670.75,500.0,670.75,2.688169556840077,2.016127167630058,1.881718689788054
2015,FOOTSCRAY,690500.0,396.875,331.0,396.875,2.988776249094859,2.241582186821144,2.092143374366401
2015,FRANKSTON,426000.0,314.375,315.0,314.375,3.837441314553991,2.878080985915493,2.6862089201877932
2015,HAMILTON,200000.0,223.75,230.0,223.75,5.8175,4.363125,4.0722499999999995
2015,HAWTHORN,1916500.0,617.25,382.5,617.25,1.6747717192799372,1.256078789459953,1.172340203495956
2015,HORSHAM,240000.0,239.125,250.0,239.125,5.181041666666666,3.88578125,3.626729166666667
2015,KEILOR,703000.0,365.75,375.0,365.75,2.7054054054054055,2.029054054054054,1.8937837837837836
2015,KEW,2080000.0,550.125,472.5,550.125,1.3753125,1.031484375,0.9627187500000001
2015,LARA,348000.0,308.0,327.5,308.0,4.602298850574712,3.4517241379310346,3.2216091954022987
2015,MALVERN,2230000.0,679.125,450.0,679.125,1.583609865470852,1.187707399103139,1.1085269058295963
2015,MALVERN EAST,1610000.0,508.75,415.0,508.75,1.6431677018633541,1.2323757763975156,1.1502173913043479
2015,MELTON,255000.0,267.5,282.5,267.5,5.454901960784313,4.091176470588236,3.8184313725490195
2015,MILDURA,252000.0,255.625,260.0,255.625,5.274801587301587,3.9561011904761902,3.692361111111111
2015,MORWELL,151000.0,195.625,195.0,195.625,6.736754966887418,5.052566225165562,4.715728476821192
2015,MOUNT WAVERLEY,1267500.0,399.5,445.0,399.5,1.6389743589743588,1.2292307692307693,1.1472820512820512
2015,NOBLE PARK,510000.0,324.75,312.5,324.75,3.3111764705882356,2.4833823529411765,2.3178235294117644
2015,NORTH BENDIGO,286000.0,259.375,280.0,259.375,4.715909090909091,3.5369318181818183,3.3011363636363638
